"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 서원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","충청북도 청주시 서원구 개신동","6**","12m미만","26.00","월세","202511","04","100","25","2002","신율로53번길","202511~202611","신규","-","","","단독다가구"
"2","충청북도 청주시 서원구 성화동","7**","25m미만","70.00","전세","202511","03","11,800","0","2011","장전로20번길","202511~202711","갱신","-","11,800","0","단독다가구"
"3","충청북도 청주시 서원구 수곡동","7**","12m미만","54.56","월세","202511","03","300","25","1995","수곡로89번길","202511~202611","갱신","-","3,000","0","단독다가구"
"4","충청북도 청주시 서원구 성화동","5**","12m미만","131.44","전세","202511","02","15,000","0","2010","신성화로46번길","202511~202711","신규","-","","","단독다가구"
"5","충청북도 청주시 서원구 사창동","5**","8m미만","25.00","월세","202511","01","100","25","2000","내수동로114번길","202511~202801","신규","-","","","단독다가구"
"6","충청북도 청주시 서원구 사창동","5**","12m미만","16.52","월세","202511","01","200","36","2019","내수동로114번길","202511~202611","신규","-","","","단독다가구"
"7","충청북도 청주시 서원구 성화동","1***","8m미만","52.00","전세","202511","01","7,000","0","2014","용호로39번길","202511~202711","신규","-","","","단독다가구"
"8","충청북도 청주시 서원구 모충동","2**","12m미만","65.00","전세","202510","31","10,000","0","2018","서원남로70번길","202511~202711","신규","-","","","단독다가구"
"9","충청북도 청주시 서원구 성화동","8**","12m미만","28.12","월세","202510","31","300","33","2013","구룡산로51번라길","202510~202610","신규","-","","","단독다가구"
"10","충청북도 청주시 서원구 수곡동","8*","8m미만","22.64","월세","202510","30","770","4","2019","서원남로19번길","202601~202712","갱신","-","760","4","단독다가구"
"11","충청북도 청주시 서원구 모충동","1**","12m미만","21.00","월세","202510","30","200","38","2014","구룡산로375번길","202510~202610","신규","-","","","단독다가구"
"12","충청북도 청주시 서원구 남이면 석판리","1*","8m미만","33.00","월세","202510","30","500","50","2003","대림로","202510~202610","신규","-","","","단독다가구"
"13","충청북도 청주시 서원구 성화동","9**","12m미만","45.51","월세","202510","29","1,000","48","2012","용호로15번길","202510~202701","신규","-","","","단독다가구"
"14","충청북도 청주시 서원구 사직동","2**","12m미만","140.18","전세","202510","28","7,500","0","2007","대원로31번길","202510~202710","신규","-","","","단독다가구"
"15","충청북도 청주시 서원구 수곡동","8**","12m미만","19.35","월세","202510","28","200","15","2022","수곡로67번길","202510~202712","신규","-","","","단독다가구"
"16","충청북도 청주시 서원구 성화동","9**","25m미만","50.00","전세","202510","27","7,000","0","2011","성화로","202601~202703","신규","-","","","단독다가구"
"17","충청북도 청주시 서원구 사창동","3**","12m미만","26.00","월세","202510","26","200","30","2005","1순환로727번길","202510~202610","신규","-","","","단독다가구"
"18","충청북도 청주시 서원구 수곡동","9**","12m미만","106.09","전세","202510","25","10,000","0","1997","수곡로5번길","202512~202712","신규","-","","","단독다가구"
"19","충청북도 청주시 서원구 사창동","1**","8m미만","30.12","월세","202510","25","200","35","2014","1순환로633번길","202510~202610","신규","-","","","단독다가구"
"20","충청북도 청주시 서원구 사창동","1**","8m미만","29.20","월세","202510","24","200","33","2010","1순환로625번길","202510~202610","신규","-","","","단독다가구"
"21","충청북도 청주시 서원구 모충동","1**","8m미만","33.00","월세","202510","24","500","30","1992","남들로","202511~202611","신규","-","","","단독다가구"
"22","충청북도 청주시 서원구 사창동","2**","12m미만","60.00","월세","202510","24","500","65","2015","창신로32번길","202510~202610","신규","-","","","단독다가구"
"23","충청북도 청주시 서원구 수곡동","1**","12m미만","28.00","전세","202510","24","5,500","0","2007","구룡산로346번길","202511~202711","신규","-","","","단독다가구"
"24","충청북도 청주시 서원구 남이면 가마리","3**","12m미만","49.30","월세","202510","23","2,000","50","2016","청남로","202510~202610","신규","-","","","단독다가구"
"25","충청북도 청주시 서원구 사창동","1**","8m미만","20.00","전세","202510","22","5,000","0","2019","1순환로633번길","202510~202710","신규","-","","","단독다가구"
"26","충청북도 청주시 서원구 죽림동","1**","8m미만","171.26","전세","202510","22","25,000","0","2014","대림로421번가길","202603~202803","신규","-","","","단독다가구"
"27","충청북도 청주시 서원구 분평동","3**","-","26.44","월세","202510","22","200","34","2010","","202510~202610","신규","-","","","단독다가구"
"28","충청북도 청주시 서원구 사창동","2**","12m미만","29.97","월세","202510","21","500","40","1986","사직대로175번길","202510~202610","신규","-","","","단독다가구"
"29","충청북도 청주시 서원구 수곡동","6**","12m미만","39.98","월세","202510","21","100","27","2000","수곡로114번길","202510~202610","신규","-","","","단독다가구"
"30","충청북도 청주시 서원구 수곡동","4*","8m미만","56.90","월세","202510","21","0","20","1994","청남로2074번길","202510~202610","신규","-","","","단독다가구"
"31","충청북도 청주시 서원구 죽림동","3**","25m미만","51.20","월세","202510","20","2,000","43","2010","성화로","202510~202710","신규","-","","","단독다가구"
