"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-11-06"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 충청북도"
"시군구 : 청주시 상당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","23.6700","202510","16","4,980","14","3","2020","중앙로 80","202511~202611","신규","-","",""
"2","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","전세","23.6700","202510","16","9,600","0","3","2020","중앙로 80","202512~202712","신규","-","",""
"3","충청북도 청주시 상당구 용암동","2653","2653","0000","용암동 2653  오피스텔","전세","84.7200","202510","01","16,830","0","4","2024","용암북로160번길 32","202510~202712","신규","-","",""
"4","충청북도 청주시 상당구 용암동","2653","2653","0000","용암동 2653  오피스텔","전세","80.5200","202510","01","16,150","0","5","2024","용암북로160번길 32","202510~202712","신규","-","",""
"5","충청북도 청주시 상당구 용암동","2653","2653","0000","용암동 2653  오피스텔","전세","80.5200","202509","26","16,150","0","3","2024","용암북로160번길 32","202510~202712","신규","-","",""
"6","충청북도 청주시 상당구 용암동","1612","1612","0000","(1612)","월세","36.4000","202509","23","500","35","2","2008","중흥로 24","202510~202610","신규","-","",""
"7","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","23.6700","202509","11","1,000","50","3","2020","중앙로 80","202510~202610","신규","-","",""
"8","충청북도 청주시 상당구 용암동","2652","2652","0000","주건축물제1동","월세","26.9800","202509","01","300","25","3","2017","용암북로160번길 28","202509~202609","신규","-","",""
"9","충청북도 청주시 상당구 용암동","2652","2652","0000","주건축물제1동","월세","26.9800","202509","01","300","35","3","2017","용암북로160번길 28","202509~202609","신규","-","",""
"10","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","23.6700","202508","28","500","50","3","2020","중앙로 80","202509~202609","신규","-","",""
"11","충청북도 청주시 상당구 서운동","29-1","0029","0001","(29-1)","월세","36.3300","202508","12","300","40","2","1991","상당로14번길 25","202508~202608","신규","-","",""
"12","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","23.6700","202508","07","1,000","50","3","2020"," ","202508~202708","신규","-","",""
"13","충청북도 청주시 상당구 용암동","1612","1612","0000","(1612)","월세","36.4000","202508","06","300","35","2","2008","중흥로 24","202508~202608","신규","-","",""
"14","충청북도 청주시 상당구 용암동","2652","2652","0000","주건축물제1동","월세","26.9800","202507","22","300","35","3","2017"," ","202507~202607","신규","-","",""
"15","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","30.7200","202507","18","1,000","65","3","2020"," ","202507~202607","신규","-","",""
"16","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","전세","23.6700","202507","12","9,300","0","3","2020"," ","202508~202708","신규","-","",""
"17","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","23.6700","202507","11","500","50","4","2020"," ","202508~202608","신규","-","",""
"18","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","전세","23.6700","202507","05","8,800","0","3","2020"," ","202508~202708","신규","-","",""
"19","충청북도 청주시 상당구 용암동","1612","1612","0000","(1612)","월세","36.4000","202506","26","300","30","4","2008","중흥로 24","202506~202606","신규","-","",""
"20","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","23.6700","202506","12","500","50","5","2020"," ","202506~202606","신규","-","",""
"21","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","34.4900","202506","07","1,000","65","5","2020"," ","202509~202608","신규","-","",""
"22","충청북도 청주시 상당구 남주동","207","0207","0000","(207)","월세","59.6200","202505","30","2,000","65","6","2014","남사로100번길 6","202506~202606","신규","-","",""
"23","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","23.6700","202504","24","500","50","5","2020"," ","202505~202605","신규","-","",""
"24","충청북도 청주시 상당구 남일면 효촌리","251-53","0251","0053","주건축물제1동(251-53)","월세","42.0000","202504","12","500","40","2","2014","효촌송암길 13-5","202504~202604","신규","-","",""
"25","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","전세","30.7200","202503","11","11,000","0","4","2020"," ","202503~202703","신규","-","",""
"26","충청북도 청주시 상당구 용암동","2652","2652","0000","주건축물제1동","월세","43.4700","202502","06","500","58","8","2017"," ","202502~202602","신규","-","",""
"27","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","월세","23.6700","202502","04","500","50","4","2020"," ","202502~202702","신규","-","",""
"28","충청북도 청주시 상당구 용암동","2652","2652","0000","주건축물제1동","월세","26.9800","202501","18","300","35","2","2017"," ","202501~202601","신규","-","",""
"29","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","전세","23.6700","202501","12","9,600","0","3","2020"," ","202502~202702","신규","-","",""
"30","충청북도 청주시 상당구 북문로3가","123","0123","0000","청주행정타운 코아루휴티스","전세","23.6700","202501","07","9,000","0","4","2020"," ","202502~202702","신규","-","",""
